respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
364327855,7,1,1,3,1,450,3,1,33460,27,53,236,2,2,5,5,1,2,345,7,,,,NA,2,1
364327855,7,1,1,3,1,175,3,1,33460,27,53,271.01,2,2,5,5,2,2,187,6,,,,NA,2,1
364327855,7,1,1,3,1,135,3,1,33460,27,59,1303.01,2,5,5,8,1,5,49,6,,,,NA,2,1
364327855,7,3,1,3,1,250,3,1,33460,27,3,502.24,2,5,5,8,1,5,75,6,,,,NA,2,1
364327855,7,1,1,3,1,350,3,1,33460,27,163,702.04,2,2,5,5,1,2,141,6,,,,NA,2,1
364327855,7,1,1,3,1,284,3,1,33460,27,123,408.03,2,5,5,8,2,5,74,6,,,,NA,2,1
364327855,7,1,1,3,1,314,3,1,41060,27,145,112,2,2,5,5,1,2,108,6,,,,NA,2,1
364327855,7,1,1,3,1,310,3,1,33460,27,53,1113,2,2,5,5,1,2,84,6,,,,NA,2,1
364327855,7,1,1,3,1,242,3,1,33460,27,37,608.19,3,5,5,8,1,5,62,6,,,,NA,2,1
364327855,7,1,1,3,1,152,3,1,33460,27,123,410.02,2,5,5,8,1,5,90,6,,,,NA,2,1
364327855,7,1,1,3,1,256,3,1,33460,27,123,419,2,2,5,5,1,2,143,6,,,,NA,2,1
364327855,7,1,1,3,1,224,3,1,33460,27,53,1076,2,2,3,5,1,2,58,6,,,,NA,2,1
364327855,7,1,1,3,1,247,3,1,33460,27,171,1008.01,2,5,5,8,2,5,125,6,,,,NA,2,1
364327855,7,1,1,3,1,215,3,1,33460,27,123,407.04,2,5,5,8,1,5,108,6,,,,NA,2,1
364327855,7,1,1,1,1,131,2,1,33460,27,53,259.03,2,5,2,8,2,5,149,6,,,,NA,2,1
364327855,7,1,1,3,1,201,3,1,33460,27,123,407.03,2,5,3,8,1,5,106,6,,,,NA,2,1
364327855,7,1,1,1,1,282,2,1,33460,27,171,1001,2,2,5,5,1,2,94,6,,,,NA,2,1
364327855,7,1,1,1,1,317,2,1,33460,27,37,608.21,2,5,5,8,1,5,115,6,,,,NA,2,1
364327855,7,1,1,1,1,333,2,1,33460,27,53,1012,2,2,5,5,1,2,133,6,,,,NA,2,1
364327855,7,1,1,1,1,221,2,1,40340,27,109,14.02,2,2,5,5,1,2,93,6,,,,NA,2,1
364327855,7,1,1,1,1,424,2,1,33460,27,53,1055,2,5,5,8,1,5,193,6,,,,NA,2,1
364327855,7,1,1,1,1,176,2,1,33460,27,139,803.01,2,5,5,8,1,5,59,6,,,,NA,2,1
364327855,7,3,1,1,1,248,2,1,33460,27,3,502.21,2,2,5,5,1,2,88,6,,,,NA,2,1
364327855,7,1,1,1,1,286,2,1,33460,27,19,912.02,2,2,5,5,1,2,103,6,,,,NA,2,1
364327855,7,1,1,1,1,144,2,1,33460,27,163,701.06,2,5,5,8,2,5,92,6,,,,NA,2,1
364327855,7,1,1,1,1,153,2,1,33460,27,37,608.18,3,5,6,8,3,5,70,6,,,,NA,2,1
364327855,7,1,1,1,1,214,2,1,33460,27,123,369,2,5,5,8,2,5,185,6,,,,NA,2,1
364327855,7,3,1,3,1,971,3,1,33460,27,53,270.01,2,2,5,5,1,2,686,7,,,,NA,2,1
364327855,7,2,1,3,1,195,3,1,33460,27,37,605.03,2,2,5,5,2,2,88,7,,,,NA,2,1
364327855,7,2,1,1,1,265,2,1,33460,27,171,1008.01,2,2,5,5,1,2,91,7,,,,01.50,2,1
364327855,7,2,1,1,1,136,2,1,33460,27,163,701.06,2,2,1,5,2,1,75,7,,,,NA,2,1
364327855,7,2,1,1,1,212,2,1,33460,27,3,502.2,2,2,5,5,2,1,59,7,,,,NA,2,1
364327855,7,2,1,1,1,121,2,1,33460,27,53,268.15,2,5,2,8,2,5,38,7,,,,NA,2,1
364327855,7,2,1,1,1,141,2,1,33460,27,3,512.01,2,5,5,8,1,5,56,7,,,,NA,2,1
364327855,7,1,1,3,1,184,3,1,33460,27,171,1001,2,5,5,8,1,5,87,1,,,,NA,2,1
364327855,7,1,1,1,1,344,2,1,33460,27,3,508.16,3,5,2,8,1,5,293,1,,,,NA,2,1
364327855,7,1,1,1,1,186,2,1,33460,27,171,1002.04,2,5,5,8,1,5,68,1,,,,NA,2,1
364327855,7,1,1,1,1,150,2,1,33460,27,37,607.41,3,3,5,5,1,2,91,1,,,,NA,2,1
364327855,7,1,1,1,1,315,2,1,33460,27,53,257.01,2,2,5,5,1,2,111,1,,,,NA,2,1
364327855,7,1,1,3,1,106,3,1,33460,27,53,1002,1,5,5,8,1,5,35,3,,,,NA,2,1
364327855,7,1,1,3,1,424,3,1,33460,27,163,704.05,2,5,5,8,2,5,771,3,,,,NA,2,1
