quadrant,result,lender,data_group
true-,112,all,test
false+,1839,all,test
false-,54,all,test
true+,6513,all,test
true-,95,usbank,test
false+,540,usbank,test
false-,91,usbank,test
true+,1948,usbank,test
true-,69,wells,test
false+,632,wells,test
false-,22,wells,test
true+,3026,wells,test
true-,0,quicken,test
false+,565,quicken,test
false-,0,quicken,test
true+,1531,quicken,test
true-,71,all,blind
false+,1880,all,blind
false-,28,all,blind
true+,6539,all,blind
true-,99,usbank,blind
false+,536,usbank,blind
false-,110,usbank,blind
true+,1929,usbank,blind
true-,55,wells,blind
false+,646,wells,blind
false-,16,wells,blind
true+,3032,wells,blind
true-,0,quicken,blind
false+,565,quicken,blind
false-,0,quicken,blind
true+,1531,quicken,blind
true-,110,all,female
false+,2254,all,female
false-,41,all,female
true+,7537,all,female
true-,184,usbank,female
false+,720,usbank,female
false-,135,usbank,female
true+,2307,usbank,female
true-,95,wells,female
false+,880,wells,female
false-,29,wells,female
true+,3620,wells,female
true-,0,quicken,female
false+,485,quicken,female
false-,0,quicken,female
true+,1487,quicken,female
true-,151,all,male
false+,4001,all,male
false-,69,all,male
true+,15718,all,male
true-,195,usbank,male
false+,1242,usbank,male
false-,178,usbank,male
true+,4868,usbank,male
true-,138,wells,male
false+,1539,wells,male
false-,39,wells,male
true+,7848,wells,male
true-,0,quicken,male
false+,1038,quicken,male
false-,0,quicken,male
true+,2854,quicken,male
true-,18,all,asian
false+,288,all,asian
false-,2,all,asian
true+,927,all,asian
true-,21,usbank,asian
false+,107,usbank,asian
false-,8,usbank,asian
true+,329,usbank,asian
true-,19,wells,asian
false+,124,wells,asian
false-,3,wells,asian
true+,493,wells,asian
true-,0,quicken,asian
false+,35,quicken,asian
false-,0,quicken,asian
true+,96,quicken,asian
true-,17,all,black
false+,310,all,black
false-,4,all,black
true+,571,all,black
true-,32,usbank,black
false+,99,usbank,black
false-,16,usbank,black
true+,151,usbank,black
true-,15,wells,black
false+,138,wells,black
false-,4,wells,black
true+,307,wells,black
true-,0,quicken,black
false+,43,quicken,black
false-,0,quicken,black
true+,97,quicken,black
true-,212,all,white
false+,5291,all,white
false-,101,all,white
true+,20861,all,white
true-,311,usbank,white
false+,1678,usbank,white
false-,284,usbank,white
true+,6611,usbank,white
true-,186,wells,white
false+,2087,wells,white
false-,59,wells,white
true+,10511,wells,white
true-,0,quicken,white
false+,1241,quicken,white
false-,0,quicken,white
true+,3497,quicken,white
