quadrant,cnf_percent,lender
true-,0.013148626438131016,all
false+,0.2158957501760977,all
false-,0.006339516318384597,all
true+,0.7646161070673867,all
true-,0.03552729992520568,usbank
false+,0.20194465220643232,usbank
false-,0.034031413612565446,usbank
true+,0.7284966342557966,usbank
true-,0.018404907975460124,wells
false+,0.1685782875433449,wells
false-,0.005868231528407575,wells
true+,0.8071485729527874,wells
true-,0.0,quicken
false+,0.2695610687022901,quicken
false-,0.0,quicken
true+,0.7304389312977099,quicken
